Year,Manufacturer,Model,Engine Size (L),Transmission,Car Category,Part Category,Part Name,Part Manufacturer,Part Number,Price ($),Fluid Type,Fluid Subtype,Fluid Manufacturer,Fluid Number
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Engine Block,Pro-Series OE,PEENG4390,466.55,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Engine Block,Pro-Series OE Plus,PSENG4343,469.24,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Engine Block,Brembo,BOENG8509,467.38,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Engine Block,Centric,CCENG3454,473.24,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Pistons,Pro-Series OE,PEPIS8974,490.39,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Pistons,Pro-Series OE Plus,PSPIS4402,508.61,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Pistons,Brembo,BOPIS8259,476.08,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Pistons,Centric,CCPIS6823,525.86,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Crankshaft,Pro-Series OE,PECRA5229,454.47,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Crankshaft,Pro-Series OE Plus,PSCRA4314,527.67,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Crankshaft,Brembo,BOCRA2625,515.47,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Crankshaft,Centric,CCCRA9413,519.52,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Camshaft,Pro-Series OE,PECAM2916,508.83,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Camshaft,Pro-Series OE Plus,PSCAM1476,450.81,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Camshaft,Brembo,BOCAM3378,458.55,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Camshaft,Centric,CCCAM8850,467.61,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Valves,Pro-Series OE,PEVAL7740,494.99,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Valves,Pro-Series OE Plus,PSVAL8546,515.51,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Valves,Brembo,BOVAL9029,476.36,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Valves,Centric,CCVAL9893,471.41,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Timing Belt,Pro-Series OE,PETIM6624,482.46,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Timing Belt,Pro-Series OE Plus,PSTIM4823,503.44,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Timing Belt,Brembo,BOTIM1268,477.43,,,,
2000,Toyota,Prius,1.8,Manual,SUV,Engine Components,Timing Belt,Centric,CCTIM2609,486.21,,,,
